BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Walker,11071 S. Hoyne Ave.,Chicago,60643,395,423,445,410,582,486,514,570,589,,,,4414,POINT (-87.673802975 41.692205985)
Albany Park,3401 W. Foster Ave.,Chicago,60625,874,1098,952,974,1087,1122,1212,1202,1065,,,,9586,POINT (-87.714061005 41.975447006)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1267,1339,1509,0,836,1161,1626,1524,1423,,,,10685,POINT (-87.586262965 41.746330993)
Brainerd,1350 W. 89th St.,Chicago,60620,316,432,474,584,554,723,630,640,741,,,,5094,POINT (-87.65773998 41.732529016)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,590,588,637,534,544,550,546,641,725,,,,5355,POINT (-87.813854016 41.978383983)
Little Italy,1336 W. Taylor St.,Chicago,60607,707,815,841,932,956,954,977,916,1099,,,,8197,POINT (-87.660324474 41.869415447)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,319,304,340,265,271,332,429,365,358,,,,2983,POINT (-87.762086963 41.997127008)
Kelly,6151 S. Normal Blvd.,Chicago,60621,467,531,496,450,549,556,660,709,561,,,,4979,POINT (-87.637248993 41.781998003)
Edgewater,6000 N. Broadway St.,Chicago,60660,1805,1997,2093,2186,2279,2021,2254,2314,2392,,,,19341,POINT (-87.660700971 41.99115201)
Near North,310 W. Division St.,Chicago,60610,1154,1248,1429,1485,1382,1342,1345,1657,1650,,,,12692,POINT (-87.636579027 41.904139012)
Canaryville,642 W. 43rd St.,Chicago,60609,257,194,211,192,193,234,345,376,335,,,,2337,POINT (-87.642596982 41.81648899)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,869,953,972,1008,1131,1057,1163,1100,1168,,,,9421,POINT (-87.646464979 41.832637983)
Manning,6 S. Hoyne Ave.,Chicago,60612,653,779,752,648,770,785,820,940,995,,,,7142,POINT (-87.679589003 41.881057011)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,798,668,894,858,852,849,997,1090,963,,,,7969,POINT (-87.754936026 41.938944991)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1135,1341,1232,1764,1870,1887,1852,2211,2202,,,,15494,POINT (-87.614246033 41.750935005)
